,year,selling_price,km_driven,StateorProvince,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region,brand
30,2017,1100000,67000,District of Columbia,Washington,Diesel,Individual,Automatic,First Owner,17.01,1582,126.2,5,Y,East,HYUNDAI
31,2018,610000,52000,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,22,1197,81.8,5,Y,East,MARUTI
32,2014,570000,40000,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,20.45,1461,83.8,5,Y,East,RENAULT
33,2011,229999,170000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5,Y,East,MAHINDRA
34,2004,81000,80000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,Y,East,MARUTI
35,2015,560000,119000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,5,Y,East,HYUNDAI
36,2016,750000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,Y,East,MARUTI
37,2017,585000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25.2,1248,74,5,Y,East,MARUTI
38,2016,425000,22000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18.5,1198,86.8,5,Y,East,HONDA
39,2017,425000,42000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,Y,East,TATA
40,2016,400000,30000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,Y,East,CHEVROLET
41,2009,130000,70000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,Y,East,MARUTI
42,2019,466000,25000,District of Columbia,Washington,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68,5,Y,East,HYUNDAI
43,2016,645000,11000,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,Y,East,SKODA
44,2018,2475000,2000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,5,Y,East,VOLVO
45,2008,275000,98000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,Y,East,HYUNDAI
46,2015,430000,5000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,Y,East,MARUTI
47,2017,573000,30000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,Y,East,MARUTI
48,2015,210000,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,Y,East,HYUNDAI
49,2013,500000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7,Y,East,MARUTI
50,2015,371000,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,Y,East,CHEVROLET
51,2010,421000,120000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,Y,East,MAHINDRA
52,2012,204999,120000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,19.09,1396,69,5,Y,East,TATA
53,2006,165000,110000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,17.7,1497,78,5,Y,East,HONDA
54,2018,580000,32000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5,Y,East,HYUNDAI
55,2013,340000,70000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,Y,East,HYUNDAI
56,2013,204999,100000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,15.1,1196,73,7,Y,East,MARUTI
57,2017,300000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,20.62,1198,67,7,Y,East,DATSUN
58,2015,850000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,Y,East,MAHINDRA
59,2015,650000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,Y,East,HYUNDAI
60,2013,350000,80000,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,22.07,1199,73.9,5,Y,East,VOLKSWAGEN
61,2018,1100000,60000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East,HYUNDAI
62,2013,600000,90000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,9,Y,East,CHEVROLET
63,2014,550000,50000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,Y,East,MARUTI
64,2015,715000,70000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,15.4,2179,120,7,Y,East,MAHINDRA
65,2016,600000,155201,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,26.1,1498,99.23,5,Y,East,FORD
66,2014,750000,101504,District of Columbia,Washington,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5,Y,East,FORD
67,2017,425000,40000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,Y,East,MARUTI
68,2014,370000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,Y,East,SKODA
69,2007,130000,120000,New York,New York City,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,Y,East,MARUTI
70,2017,440000,45000,New York,New York City,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,Y,East,HYUNDAI
71,2014,500000,68000,New York,New York City,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,Y,East,RENAULT
72,2016,680000,100000,New York,New York City,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,Y,East,HYUNDAI
73,2011,174000,100000,New York,New York City,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5,Y,East,MAHINDRA
74,2017,950000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,Y,East,HONDA
75,2012,600000,72000,New York,New York City,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,Y,East,MARUTI
76,2018,500000,35000,New York,New York City,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5,Y,East,TATA
77,2018,254999,25000,New York,New York City,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,Y,East,MARUTI
78,2019,2100000,5000,New York,New York City,Petrol,Individual,Automatic,First Owner,16,1368,160.77,5,Y,East,JEEP
79,2018,925000,28900,New York,New York City,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,Y,East,HONDA
80,2013,425000,86300,New York,New York City,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,Y,East,HONDA
81,2018,675000,23300,New York,New York City,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5,Y,East,MARUTI
82,2018,390000,10300,New York,New York City,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,Y,East,MARUTI
83,2013,700000,99000,New York,New York City,Diesel,Dealer,Manual,First Owner,12.99,2494,100,7,Y,East,TOYOTA
84,2014,1450000,27800,New York,New York City,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,Y,East,MERCEDES-BENZ
85,2015,425000,49800,New York,New York City,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,Y,East,HONDA
86,2018,850000,64000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5,Y,East,MARUTI
87,2019,650000,30000,New York,New York City,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,Y,East,MARUTI
88,2011,235000,60000,New York,New York City,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,Y,East,HYUNDAI
89,2016,1200000,140000,New York,New York City,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,Y,East,TOYOTA
90,2016,275000,38000,New York,New York City,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,Y,East,MARUTI
91,2017,866000,37800,New York,New York City,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East,HYUNDAI
92,2019,1700000,32000,New York,New York City,Diesel,Individual,Manual,First Owner,15.1,2179,155,7,Y,East,MAHINDRA
93,2016,375000,100000,New York,New York City,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,Y,East,TATA
94,2013,522000,150000,New York,New York City,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,Y,East,HYUNDAI
95,2013,451999,69000,New York,New York City,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,Y,East,HYUNDAI
96,2009,300000,100000,New York,New York City,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,Y,East,TOYOTA
97,2020,475000,13000,New York,New York City,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,Y,East,MARUTI
98,2017,850000,76139,New York,New York City,Diesel,Individual,Manual,First Owner,23,1498,98.96,5,Y,East,FORD
99,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5,Y,East,JAGUAR
100,2019,5800000,7500,New York,New York City,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5,Y,East,BMW
101,2017,2625000,9000,New York,New York City,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5,Y,East,JAGUAR
102,2018,811000,11000,New York,New York City,Petrol,Dealer,Manual,First Owner,17,1198,108.5,5,Y,East,TATA
103,2012,550000,95000,New York,New York City,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,Y,East,HYUNDAI
104,2018,1025000,8000,New York,New York City,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,Y,East,TATA
105,2016,1900000,41000,New York,New York City,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,Y,East,TOYOTA
106,2009,450000,71000,New York,New York City,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,Y,East,TOYOTA
107,2017,10000000,30000,New York,New York City,Petrol,Individual,Automatic,First Owner,42,1969,400,4,Y,East,VOLVO
108,2015,425000,70000,New York,New York City,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,Y,East,HYUNDAI
109,2019,480000,13000,New York,New York City,Petrol,Individual,Manual,First Owner,19.44,999,75,5,Y,East,VOLKSWAGEN
110,2011,160000,25000,New York,New York City,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,Y,East,MARUTI
111,2013,550000,70000,New York,New York City,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,Y,East,MARUTI
112,2015,350000,100000,New York,New York City,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,Y,East,MARUTI
113,2013,290000,50000,New York,New York City,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,Y,East,HYUNDAI
114,2016,520000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,Y,East,MARUTI
115,2011,265000,20000,New York,New York City,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,Y,East,HYUNDAI
116,2010,300000,70000,New York,New York City,Petrol,Individual,Manual,First Owner,17,1197,80,5,Y,East,HYUNDAI
117,2005,90000,99361,New York,New York City,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,Y,East,MARUTI
118,2011,325000,58000,New York,New York City,Petrol,Individual,Manual,Third Owner,16.1,1298,88.2,5,Y,East,MARUTI
119,2012,420000,120000,New York,New York City,Petrol,Individual,Automatic,First Owner,17.4,1197,85.8,5,Y,East,MARUTI
120,2014,400000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,Y,East,MARUTI
121,2011,265000,90000,New York,New York City,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,Y,East,MARUTI
122,2010,130000,162000,New York,New York City,Petrol,Individual,Manual,Second Owner,19,998,66.1,5,Y,East,MARUTI
123,2018,3000000,35000,New York,New York City,Diesel,Individual,Manual,First Owner,14.24,2755,174.5,7,Y,East,TOYOTA
124,2018,390000,13000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.71,799,53.26,5,Y,East,RENAULT
125,2012,325000,40000,New York,New York City,Petrol,Dealer,Manual,First Owner,18.5,1198,86.8,5,Y,East,HONDA
126,2009,215000,60000,New York,New York City,Petrol,Dealer,Manual,First Owner,20.36,1197,78.9,5,Y,East,HYUNDAI
127,2010,140000,70000,New York,New York City,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197,78.9,5,Y,East,HYUNDAI
128,2019,5150000,20000,New York,New York City,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,Y,East,LEXUS
129,2016,550000,56494,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,Y,East,HONDA
130,2015,480000,90000,New York,New York City,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,Y,East,MARUTI
131,2014,535000,70000,New York,New York City,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5,Y,East,HYUNDAI
132,2012,95000,265000,New York,New York City,Diesel,Individual,Manual,Second Owner,17,1405,70,5,Y,East,TATA
133,2013,219000,50000,New York,New York City,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,Y,East,HYUNDAI
134,2018,325000,100000,New York,New York City,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,Y,East,TATA
135,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5,Y,East,JAGUAR
136,2015,503000,110000,New York,New York City,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,Y,East,TATA
137,2018,740000,38817,New York,New York City,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5,Y,East,MARUTI
138,2017,625000,25538,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,Y,East,TOYOTA
139,2018,600000,69779,New York,New York City,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,Y,East,MARUTI
140,2013,530000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5,Y,East,MARUTI
141,2015,520000,110000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,5,Y,East,VOLKSWAGEN
142,2010,120000,70000,New York,New York City,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,Y,East,MARUTI
143,2014,320000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,Y,East,MARUTI
144,2018,950000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,23,1498,98.96,5,Y,East,FORD
145,2015,610000,50000,New York,New York City,Diesel,Individual,Manual,Second Owner,21.19,1396,88.73,5,Y,East,HYUNDAI
146,2015,375000,80000,New York,New York City,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,Y,East,MAHINDRA
147,2011,500000,99500,New York,New York City,Diesel,Individual,Manual,Third Owner,11.5,1991,147.9,7,Y,East,CHEVROLET
148,2013,300000,60000,New York,New York City,Diesel,Individual,Manual,Second Owner,23.5,1498,90,5,Y,East,FORD
149,2010,140000,40000,New York,New York City,Diesel,Individual,Manual,First Owner,16.6,1405,70,5,Y,East,TATA
150,2013,409999,45000,New York,New York City,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5,Y,East,TOYOTA
151,2015,400000,40000,New York,New York City,Petrol,Individual,Automatic,First Owner,18.9,1197,82,5,Y,East,HYUNDAI
152,2019,700000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,Y,East,MARUTI
153,2017,450000,90000,New York,New York City,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,Y,East,TATA
154,2012,220000,70000,New York,New York City,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5,Y,East,CHEVROLET
155,2009,250000,146000,New York,New York City,Diesel,Individual,Manual,Second Owner,13.93,2179,138,7,Y,East,TATA
156,2012,300000,85000,New York,New York City,Petrol,Individual,Manual,Second Owner,15.6,1196,70,5,Y,East,FORD
157,2016,561000,30000,New York,New York City,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,Y,East,MARUTI
158,2018,755000,15000,New York,New York City,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,Y,East,MARUTI
159,2017,235000,25000,New York,New York City,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,Y,East,DATSUN
160,2015,200000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,18.6,1199,76.8,5,Y,East,CHEVROLET
161,2018,801000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,Y,East,HYUNDAI
162,2017,700000,43000,New York,New York City,Petrol,Dealer,Manual,First Owner,15.4,1497,117.3,7,Y,East,HONDA
163,2018,217000,25000,New York,New York City,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,Y,East,DATSUN
164,2017,1650000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,17.1,1956,170,5,Y,East,JEEP
165,2013,630000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7,Y,East,MARUTI
166,2012,500000,76000,New York,New York City,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,Y,East,MAHINDRA
167,2015,400000,40000,New York,New York City,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,Y,East,MARUTI
168,2015,280000,60000,New York,New York City,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,Y,East,HYUNDAI
169,2012,375000,31711,New York,New York City,Petrol,Dealer,Manual,Second Owner,17.6,1496,88.7,5,Y,East,TOYOTA
170,2016,300000,66693,New York,New York City,Petrol,Dealer,Manual,First Owner,25.17,799,53.3,5,Y,East,RENAULT
171,2011,400000,221889,New York,New York City,Diesel,Dealer,Manual,First Owner,22.32,1582,126.32,5,Y,East,HYUNDAI
172,2013,500000,116104,New York,New York City,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,5,Y,East,HONDA
173,2015,500000,150546,New York,New York City,Petrol,Dealer,Manual,First Owner,22,1197,81.8,5,Y,East,MARUTI
174,2011,200000,80000,New York,New York City,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5,Y,East,HYUNDAI
175,2013,200000,24000,New York,New York City,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,Y,East,MARUTI
176,2017,800000,100000,New York,New York City,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,Y,East,MARUTI
177,2008,135000,80000,New York,New York City,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5,Y,East,HYUNDAI
178,2015,299000,16500,New York,New York City,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,Y,East,TATA
179,2011,300000,70000,New York,New York City,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5,Y,East,MARUTI
180,2014,600000,50000,New York,New York City,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7,Y,East,MAHINDRA
181,2016,1100000,60000,New York,New York City,Diesel,Individual,Manual,First Owner,15.4,2179,120,7,Y,East,MAHINDRA
182,2011,270000,40000,New York,New York City,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,Y,East,MARUTI
183,2009,135000,28900,New York,New York City,Petrol,Individual,Manual,Second Owner,0,1172,65,5,Y,East,TATA
184,2012,275000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,Y,East,MARUTI
185,2017,2625000,9000,New York,New York City,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5,Y,East,JAGUAR
186,2019,5150000,20000,New York,New York City,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,Y,East,LEXUS
187,2017,3200000,45000,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5,Y,East,JAGUAR
188,2018,740000,38817,New York,New York City,Diesel,Dealer,Manual,First Owner,27.39,1248,74,5,Y,East,MARUTI
189,2017,625000,25538,New York,New York City,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,Y,East,TOYOTA
190,2018,600000,69779,New York,New York City,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5,Y,East,MARUTI
191,2012,235000,98500,New York,New York City,Petrol,Individual,Manual,Second Owner,19,998,66.1,5,Y,East,MARUTI
192,2014,700000,40000,New York,New York City,Diesel,Individual,Manual,Second Owner,16.55,2498,105,6,Y,East,MAHINDRA
193,2018,535000,21000,New York,New York City,Petrol,Individual,Manual,Second Owner,18.15,1198,82,6,Y,East,MAHINDRA
194,2019,655000,25000,New York,New York City,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,Y,East,MARUTI
195,2010,100000,180000,New York,New York City,Petrol,Individual,Manual,Second Owner,19,998,67.1,5,Y,East,MARUTI
196,2016,395000,50000,New York,New York City,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,Y,East,MARUTI
197,2015,715000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,Y,East,HYUNDAI
198,2019,600000,10000,New York,New York City,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,Y,East,HYUNDAI
199,2016,550000,120000,New York,New York City,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9,Y,East,MAHINDRA
200,2014,750000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,Y,East,TOYOTA
201,2015,450000,30000,New York,New York City,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,Y,East,MARUTI
202,2020,390000,6000,New York,New York City,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5,Y,East,MARUTI
203,2013,200000,80000,New York,New York City,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,Y,East,HYUNDAI
204,2005,85000,150000,New York,New York City,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,Y,East,MARUTI
205,2006,67500,110000,New York,New York City,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,52.8,5,Y,East,TATA
206,2016,700000,110000,New York,New York City,Diesel,Individual,Manual,Second Owner,24.3,1248,88.5,5,Y,East,MARUTI
207,2011,250000,120000,New York,New York City,Diesel,Individual,Manual,First Owner,13,2489,95,8,Y,East,MAHINDRA
208,2016,600000,120000,New York,New York City,Diesel,Individual,Manual,First Owner,15.96,2523,63,9,Y,East,MAHINDRA
209,2010,200000,80000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.4,1248,91.2,5,Y,East,FIAT
210,2006,220000,120000,New York,New York City,Diesel,Individual,Manual,Second Owner,10.5,2179,120,8,Y,East,MAHINDRA
211,2009,120000,90000,New York,New York City,Petrol,Individual,Manual,Second Owner,0,1086,62,5,Y,East,HYUNDAI
212,2012,100000,51000,New York,New York City,Petrol,Individual,Manual,First Owner,16.1,796,37,4,Y,East,MARUTI
213,2013,430000,86000,New York,New York City,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5,Y,East,MARUTI
214,2015,300000,15000,New York,New York City,Petrol,Individual,Manual,First Owner,20.62,1198,67,7,Y,East,DATSUN
215,2011,450000,100000,New York,New York City,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,Y,East,MAHINDRA
216,2008,95000,120000,New York,New York City,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,Y,East,MARUTI
217,2017,850000,35000,New York,New York City,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,5,Y,East,HYUNDAI
218,2016,1165000,50000,New York,New York City,Diesel,Individual,Manual,First Owner,16,1997,140,7,Y,East,MAHINDRA
219,2012,345000,50000,New York,New York City,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,Y,East,MARUTI
220,2007,95000,100000,New York,New York City,Petrol,Individual,Manual,Second Owner,17.8,1086,63,5,Y,East,HYUNDAI
221,2015,241000,15000,New York,New York City,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,Y,East,MARUTI
222,2015,235000,20000,New York,New York City,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,Y,East,MARUTI
223,2015,615000,80000,New York,New York City,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,Y,East,FORD
224,2014,350000,110000,New York,New York City,Diesel,Individual,Manual,Second Owner,20.8,1461,64.1,5,Y,East,MAHINDRA
